,text,label,english
0, аш болсаң өзіңе ұқсамайсың ,0," if you are hungry, you are not like yourself "
1, аяғыңның размері қанша ,0, what is the size your feet 
2, қоя тұр тек некеден кейін ғана ,0, standing only after marriage 
3, суды толықтырып қояйын ,0, i will refill the water 
4,https vk com market w product ,0,https vk com market w product 
5, ақымақ ,0, stupid 
6, жиза маа ,0, жиза маа 
7, сенде осылай салдың баа ,0, that s how you put the price 
8, қаладан өзінің ауылына келіп типа городской болғанда ,0, how to come to his village when t pa city 
9, сенер достарың бар болса әдеміі лүпіл қалдырып кетшищ ,0, i believe there is beauty l pil friends ket leaving 
10, романтик ,0, romantic 
11, ренжiп қалды ,0, renjip left 
12,адамғаа ештеңе жакпайды ,0,adam aa jakpayd nothing 
13," мен бабник емеспін, просто жалғыз ұйықтауғаа қорқам ",0, i m not babn k spacious m afraid the only uy qtaw aa 
14,қауiптi адам ,0,dangerous person 
15, суретке ат қойыңыздар ,0,ask the artist 
16,хай мен интернет қызмет сатумен айналысамвзлом жасау тгинста накрутка тгтегін интернет тгютуб под жинау тгвай фай бұзу тгтелефонға қосымша память тгақша табу жолы тгақша табу схемасы схема тгтөлемдер киви аркылыhttps vk com id ,0,high and internet service sales aynal samvzlom tg nsta cheat tgtegin internet tgyutwb under collection tgvay fi violation tgtelefon a find additional memory tgaq a find a way tgaq a type circuit tgt lemder kiwi ark l https vk com id 
17, апам тоқып берген бас киiмiм ,0,"she textile , clothing m "
18, үйден әйелің қуып жібергендее ,0, sending out your wife at home 
19,"ішің пысып, не істеріңді білмей отқан болсаң лүпілдетіп кетшищ қане ",0,"if your belly is bright , or do not know your deeds, otqan l pildetip ket s go "
20, қазақтар ай ,0, kazakhs month 
21, ат қойыңдар фотоғаа ,0, name pay foto aa 
22, оқуды қызыл дипломға бітіріп жұмысқаа тұрдым ,0, i lived with honors jum sqaa reading 
23, өзіңді таптың баа ,0, price you found yourself 
24,гоуте тиркелиык,0,gout attachment
