text,label,english
"21 мамыр 2005 ж. fa кубогының ақтық финалында жеңіске жету үшін 2-ші құрамға ақысыз кіру. кіру туралы сұрақты алу үшін fa-ға 87121 нөміріне sms жолдаңыз (stxt txt ставкасы) сұрақтар мен жауаптар 08452810075over18's ,,,",0,"free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005. text fa to 87121 to receive entry question(std txt rate)t&c's apply 08452810075over18's,,,"
"«freemsg, міне, менің сүйіктім, міне, 3 апта болды, бірақ одан ештеңе айтпадым! мен сізді әлі күнге дейін қызықтырғым келеді? tb ok!",0,"""freemsg hey there darling it's been 3 week's now and no word back! i'd like some fun you up for it still? tb ok! xxx std chgs to send, å£1.50 to rcv"",,,"
"жеңімпаз !! желінің бағалы клиенті ретінде сіз 900 фунт стерлинг сыйақы алуға лайықты деп танылдыңыз! талап ету үшін 09061701461 нөміріне қоңырау шалыңыз. шағым коды kl341. тек 12 сағат жарамды. ,,,",0,"winner!! as a valued network customer you have been selected to receivea å£900 prize reward! to claim call 09061701461. claim code kl341. valid 12 hours only.,,,"
"сіздің ұялы телефоныңыз 11 ай немесе одан көп болды ма? ur камерамен соңғы түрлі-түсті ұялы телефондарды ақысыз жаңартуға құқылы! 08002986030 нөміріне mobile update co қоңырауына ақысыз қоңырау шалыңыз ,,,",0,"had your mobile 11 months or more? u r entitled to update to the latest colour mobiles with camera for free! call the mobile update co free on 08002986030,,,"
"«cash ұтып алуға алты мүмкіндік! 100-ден 20000 фунт стерлингтен txt> csh11 нөміріне жіберіп, 87575 нөміріне жіберіңіз. бағасы 150р / тәулігіне, 6 күндік және 16+ tsandc жауаптары hl 4 ақпаратына жауап береді» ,,,",0,"""six chances to win cash! from 100 to 20,000 pounds txt> csh11 and send to 87575. cost 150p/day, 6days, 16+ tsandcs apply reply hl 4 info"",,,"
"«шұғыл! сіз біздің 100,000 фунт стерлингтік ұтыс ойынына 1 апта тегін мүшелік ұтып алдыңыз! сөзді мәтінге жазыңыз: № 81010 t&c мекен-жайына шағым. www.dbuk.net lccltd pobox 4403ldnw1a7rw18» ,,,",0,"""urgent! you have won a 1 week free membership in our å£100,000 prize jackpot! txt the word: claim to no: 81010 t&c www.dbuk.net lccltd pobox 4403ldnw1a7rw18"",,,"
"«xxxmobilemovieclub: сіздің несиеңізді пайдалану үшін келесі мәтіндік хабарламадағы wap сілтемесін басыңыз немесе мына жерді басыңыз >> http: // wap. xxxmobilemovieclub.com?n=qjkgighjjgcbl» ,,,",0,"""xxxmobilemovieclub: to use your credit, click the wap link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=qjkgighjjgcbl"",,,"
"«англия мен македония - мақсаттарды жіберіп алмаңыз / командалық жаңалықтар. ұлттық құраманы 87077 нөміріне жіберіңіз, мысалы, англия 87077 нөміріне. көріңіз: wales, шокландия 4txt / ì¼1.20 poboxox36504w45wq 16 +» ,,,",0,"""england v macedonia - dont miss the goals/team news. txt ur national team to 87077 eg england to 87077 try:wales, scotland 4txt/ì¼1.20 poboxox36504w45wq 16+"",,,"
"ұлыбританиядағы ringtone-ге жазылғаны үшін рақмет, ұялы телефоныңыздан айына 5 £ төленеді. иә немесе жоқ деп жауап беру арқылы растаңыз. егер жоқ деп жауап берсеңіз, сізден ақы алынбайды ,,,",0,"thanks for your subscription to ringtone uk your mobile will be charged å£5/month please confirm by replying yes or no. if you reply no you will not be charged,,,"
"07732584351 - роджер бернс - msg = біз сіздің sms-ке ақысыз nokia mobile + тегін бейнекамера үшін жауап ретінде қоңырау шалуға тырыстық. дәл қазір 08000930705 нөміріне хабарласыңыз, ертең жеткізу үшін ,,,",0,"07732584351 - rodger burns - msg = we tried to call you re your reply to our sms for a free nokia mobile + free camcorder. please call now 08000930705 for delivery tomorrow,,,"
