,text,label
0,"Лива Туввар Сирия АлЛажатта # IslamState-қа қарсы ұрыс бастайды <a href=""https://t.co/Fm1iTwk0Z8"">https://t.co/Fm1iTwk0Z8</a>",1
1, террористік иттер бүлікшілерге айналады! #Turkey #PKK #TwitterKurds https: // t…,1
2,Әл-Хайрдың Газваты 13 арнайы аймақ. Олардан кейін олар Алеппеге қайтып оралады.,1
3,Сирия-дағы # Ресей | n 'басып кіру' туралы алаңдамаудың кіруі мүмкін емес. Меккедегі бір жұма туралы «Қорғаныс джихад» деп жарияланады ...,1
4,"Ядролық соғыс соғысы келе жатыр !!! <a href=""https://t.co/v73GmveabI"">https://t.co/v73GmveabI</a>",1
5,"Давлатул ислам! Баақия! Ансарул Халифа - Оңтүстік-Шығыс Азиядағы барлық мужахидтер топтарын жақсы көремін деп сенемін. <a href=""https://t.co/KaVLDresnk"">https://t.co/KaVLDresnk</a>",1
6,"Орыстар, сириялықтар мен ирандықтар Бағдадта әскери үйлестіру камерасын құруда <a href=""http://t.co/HYabzUFqZC"">http://t.co/HYabzUFqZC</a>",1
7,@WilayatNinawa сізге xpose-ді жауларға тапсырма аласыз! ,1
8,"Фаллужаның #IS мандаты Фаллужаның солтүстік-шығысында (12,5) мм қару-жарақпен Сафави әскеріне тиесілі Хамвейде #IRAQ.",1
9,"🔴URGENT | #HOMS IS сириялық режимді күшейтеді, 4 сарбазды өлтіруге мүмкіндік береді (Хомс-Пальмира)",1
10,"# Анбар ИСМ басқарылды 2 өлтіру 23 ирак армиясы, Аль-Багдади базасында d әскери жолмен 5 күш жұмсалады",1
11,"Бұл жол # Сириядан емес .. # Фаллужадан #Iraq | мен армияны бомбалау. #ISIS <a href=""http://t.co/Qte40bIUEl"">http://t.co/Qte40bIUEl</a>",1
12,Жаңа таңертең Тел-наам ауданында Нусайристе 10 тонна бомба (халаб) бар.,1
13,Бұл твит (жүктеме #RISia #ISIS бомбалау емес) төңкерушілерге арналады .. Жаңа бақытсыздар! #Syria https: /…,1
14,ШОК: ISIS шығарылған «Иерусалимде немесе Израильде бір яһуди қалмайды; үйде тіндерді өлтіреміз »https ... видео ...,1
15,"Егер сізде # сирия-да соғыс болса, қай жерге қосыласыз? ҚҚА 14% Нусра майданы 12% #ISIS 70% Jaish Әл Ислам 4% HTTPS ...",1
