text,label,english
"әйелдер угандадағы жұмыс күшінің жетпіс пайызын құрайды, бірақ өз өнімдерін нарыққа шығару мүмкіндігі сирек. 23 әйел - бұл бірігу, көп жұмыс істеу және өз елдері ұсына алатын ең жақсы кофені жеткізу қажеттілігін түсінген нағыз әйелдердің нақты тарихы. егін жинау бәсекесінде угандадағы бірінші нөмірлі кофені бағалады, бұл әйелдер әлемдегі ең жақсы кофені шығарады.",0,"women make up seventy percent of the labor force in uganda, yet rarely get the chance to bring their own products to market. 23 women is a real story of real women who saw the need to join together, work hard, and deliver the best coffee their country could offer. rated the number one coffee in uganda at the afca taste of harvest competition, these women produce some of the best coffee in the world."
"бұл сіздің өзіңіздің аулаңызда. сену қиын болса да, шамамен бес миллион американдықтар өздерінің келесі тамағы қайдан келетінін білмейді. дәл сіз сияқты қоғамдастықтарда көмекке мұқтаждар көп. барлық елдерде аштықты тоқтату үшін жақсылық жасау үшін жиналатын адамдарға қосылыңыз. бүгіннен бастаңыз. жергілікті азық-түлік банкіне азық-түлік немесе ақша беру немесе өзіңіздің жеке сапарларыңызды бастау туралы кеңестер алу оңай болуы мүмкін. қатысудың кез келген деңгейі сізге сәйкес келеді, біз сіздің аймағыңыздағы адамдарды табуды және оларға көмектесуді қарапайым етіп жасадық. сондықтан қатысыңыз. www.createthegood.org/hunger сайтына өтіңіз.",0,"it's right in your own backyard. while it may be hard to believe, roughly five million americans don't even know where their next meal will come from. in communities just like yours, there are many who need help. join people across the country who are coming together with aarp create the good, to end hunger. start today. it can be as easy as giving food or money to your local area food bank, or getting tips to start your own food drive. whatever level of involvement is right for you, we've made it simple to find and help people in your area. so get involved. go to www.createthegood.org/hunger."
"мен өзімді құрметтеймін деп ойладым. яғни, мен өзімнің жоғары тұрғанымды көргенге дейін. бұл менің өзім білмейтін ұсқынсыз жағы. мен емес нәрселерді айту және жасау. мен өзімді сыйлаймын, сондықтан мен есірткі қолданбаймын.",0,"i thought i respected myself. that is, until i saw myself get high. it's just an ugly side of myself that i didn't recognize. saying and doing things that just weren't me. i do respect myself, that's why i don't do drugs."
"егер сіздің жүрегіңізде жабайы мустанг немесе бурро үшін орын болса ... және сіз қабылдауға дайын болсаңыз ... осы сенбі мен жексенбіде норкодағы ингаль паркіне келіңіз. жерге орналастыру бюросы «асырап алу» немесе «бурро» бағдарламасы арқылы білікті асырап алушыларға 80 жабайы жылқы мен 20 жабайы бурро ұсынады. бұл әдемі мустангтар мен бурралар калифорниядағы қоғамдық жерлерден жиналды және олардың денсаулығы жақсы. олар жұма күні түске таман саябаққа келеді және көпшілік көре алады. мустангтар өздерінің күшімен, жылдамдығымен және төзімділігімен танымал. burros үй жануарларын, серіктес жануарларды және күзет жануарларын жасайды. ең төменгі баға бір жануар үшін $ 125 құрайды. төлемдер қолма-қол ақша, чек немесе несие картасы арқылы төленуі мүмкін. осы демалыста норкодағы ингаль паркінде жабайы мустанг немесе бурро қабылдауға осы мүмкіндікті жіберіп алмаңыз. қосымша ақпарат алу үшін сегіз жүз тоғыз бес бір, сегіз жеті екі нөлге қоңырау шалыңыз. бұл сегіз жүз, тоғыз бес бір, сегіз жеті екі нөл.",0,"if there's a place in your heart for a wild mustang or burro...and you're ready to adopt... come to ingalls park in norco this saturday and sunday. the bureau of land management will offer 80 wild horses and 20 wild burros to qualified adopters through its adopt-a-horse or burro program. these beautiful mustangs and burros were gathered from public lands in california, and they're in excellent health. they arrive at the park around noon on friday and will be available for public viewing. mustangs are renowned for their strength, speed and endurance. burros make excellent pets, companion animals and guard animals. the minimum bid is only $125 dollars per animal. fees may be paid by cash, check, or credit card. don't miss this opportunity to adopt a wild mustang or burro this weekend at ingalls park in norco. for more information call eight hundred, nine five one, eight seven two zero. that's eight hundred, nine five one, eight seven two zero."
"біреу баланы ұрлап әкетсе, оны жарнамаламақ емес. бірақ біз жасаймыз. ұялы телефонға ақ сары хабарлама туралы хабарлама алу үшін сымсыз amber alert.org сайтына тіркеліңіз. сымсыз сары сигналдар. бала көмекке шақырады.",0,"when someone abducts a child, they're not about to advertise it. but we will. sign up at wireless amber alert.org to get free amber alert text messages on your cell phone. wireless amber alerts. a child is calling for help."
"американдық неврология академиясы альцгеймер ауруы немесе ақыл-есі кем адамдар көлік құралын қашан тоқтату керектігін анықтауға көмектесетін жаңа нұсқаулық шығарды. нұсқаулық қамқоршыларға ескерту белгілерін, соның ішінде апаттардың, жол жүру билеттерінің, түнде немесе жаңбырдың астында жүруден аулақ болуды және импульсивті мінезді сақтауға кеңес береді. көбірек білу немесе өзіңіздің жаныңызда невропатологты табу үшін американдық неврология академиясының пациенттер мен күтушілерге арналған веб-сайтына кіріңіз aan.com. (әріптерді бөлек оқыңыз.) бұл aan.com. нұсқаулық: 30s psa. веб-сайттың әріптерін бөлек оқыңыз (аан). u / l txtom арқылы",0,"the american academy of neurology has issued a new guideline to help determine when people with alzheimer's disease or dementia should stop driving. the guideline advises caregivers to watch for warning signs including: crashes, traffic tickets, avoiding driving at night or in rain and an impulsive personality. to learn more or to find a neurologist near you, visit the american academy of neurology's website for patients and caregivers at aan.com. (pronounce the letters separately.) that's aan.com. direction note: 30s psa. pronounce the letters of the website (a.a.n.) separately. u/l by txtom"
"американдық адвокаттар алқасына қосылып, заңды оқиғалардан хабардар болыңыз, несие алыңыз және ерекше үнемдеңіз. аба ұлттық ауқымға, мансапқа және практикаға қатысты кеңестерге, бүкіл әлемдегі заң мамандарымен байланыс орнату мүмкіндіктеріне және басқа көптеген мәселелер бойынша тәжірибе ұсынады. ақш-тың штаттарында, аумақтарында немесе иеліктерінде жұмыс істеуге лицензиясы бар заңгер ретінде сіз көп ұзамай аба сіздің кәсіби өміріңіздің маңызды компонентіне айналғанын білесіз.",0,"join the american bar association to stay current on legal developments, earn cle credit, and enjoy exclusive savings. the aba offers expertise on a national scope, career and practice advice, networking opportunities with legal professionals from across the u.s., and much more. as a lawyer licensed to practice in the one of the states, territories, or possessions of the united states, you will soon find the aba has become an essential component of your professional life."
"американдық онкологиялық қоғам американдық қатерлі ісік қоғамы темекіні тастау өте қиын. тек 50 миллион американдықтың кез-келгенінен сұраңыз, олар денсаулық пен ұзақ өмірге қаншалықты зиян әкелетінін білсе де, қуана береді. бұл өлімге әкелетін әдетті жою туралы сөз болғанда, ең тиімді құрал - ерік күші. американдық қатерлі ісік қоғамы енді темекі шегетіндерге өздерін жалғыз тастай алмайтындай сезінетіндерге арналған тегін бейне ұсынады. 1-800-575-2424 нөміріне бүгін американдық онкологиялық қоғамға қоңырау шалыңыз.",0,"american cancer society american cancer society it's tough to quit smoking. just ask any of the 50 million americans who continue to puff away, even though they know the toll it takes on health and longevity. when it comes to breaking this lethal habit, the most effective tool is willpower. the american cancer society now offers a free video for those smokers who feel they can't quit alone. call the american cancer society today, at 1-800-575-2424."
"қатерлі ісіктен аман қалған 3 миллион американдықтың біреуінен сұраңыз, егер зерттеуге жұмсалған қаражат тұрарлық болса. өтінемін көмектесіңіз.",0,"ask one of the 3 million americans who've survived cancer, if the money spent on research is worth it. please help."
"бұл заттардың не ортақ екенін білесіз бе? олар оларға қатты аллергиясы бар адамдарды өлтіре алады. жержаңғақ, сүт, жұмыртқа және моллюскалар сияқты қарапайым заттар анафилаксия деп аталатын ауыр аллергиялық реакцияны тудыруы мүмкін. анафилаксия қаупі бар 7 адамның 1-і болуы мүмкін. басқа себептерге жәндіктердің шағуы, антибиотиктер және латекс жатады. сіз бе, әлде сіз жақсы көретін адам тәуекелге душар бола ма? дайын болыңыз. аллергеннен толықтай аулақ болу мүмкін емес. ауыр аллергиялық реакция белгілерін қалпына келтіретін емдеу әдістері бар. егер сізде немесе сіздің отбасыңызда осындай заттармен байланыста болғаннан кейін осы белгілердің кез-келгені болса, дәрігеріңізбен сөйлесіңіз.",0,"do you know what these items have in common? they can kill people who are severly allergic to them. things as simple as peanuts, milk, eggs and shellfish can cause a severe allergic reaction called anaphylaxis. as many as 1 out of 7 people may at risk for anaphylaxis. other causes include insect stings, antibiotics, and latex. are you, or someone you love at risk? be prepared. completely avoiding an allergen is impossible. there are treatments that reverse the symptoms of a severe allergic reaction. if you or someone in your family has had any of these symptoms after contact with items like these, talk to your doctor."
