,text,label,english
0,өмір арақ сасып барады ,0,life stinks of vodka 
1,"атtravel клубы мүшелерінің қысқы маусымдағы сапары бұл жолы қарағанды мен павлодар облыстарының шекарасында орналасқан бұқар жырау кесенесіне барумен басталды kazakh tourism ұлттық компаниясы мен qazaqgeographe республикалық қоғамдық бірлестігінің ұйымдастыруымен киелі қазақстан салт атты экспедициясы кезекті сапары барысында академик қаныш сәтбаев ауылына арнайы келді экспедиция елбасының рухани жаңғыру бағдарламасы аясында және ұлы даланың жеті қыры мақаласындағы атқа міну мәдениетін насихаттау мақсатында өтті халқымыздың аса қадірлі салты атқа міну дәстүрін дәріптеу киелі қазақстан республикалық салт атты экспедициясының басты мақсаты шараға мұрындық болған атtravel клубының мүшесі, екі жыл қатарынан салт атты экспедиция құрамында киелі жерлерге саяхат жасап жүрген қ сәтбаев ауылындағы шадыра мектебінің директоры төлеген ахаев екі күнге жалғасқан атты сапардың алғашқы күні қаныш сәтбаев ауылынан шыққан салт аттылар шақырым жол жүріп, семізбұғы, қараащы өңірінде жатқан бұхар жырау қалқаманұлы кесенесіне ат басын тіреді ",0,"the winter visit of members of the club attravel began with a visit to the mausoleum bukhar zhyrau, located on the border of karaganda and pavlodar regions during the regular visit of the expedition holy kazakhstan organized by the national company kazakh tourism and the republican public association qazaqgeographe academician kanysh he came to satpayev village specially president of the expedition of the great steppe spiritual and part of the program of the seven side, the article horseback riding tti xalq m zd highly respected in order to promote a culture of image to promote the tradition of horseback riding expedition kazakhstan horsemen of the bible was the main initiator of maqsat ara a club attravel tolegen akhaev, director of shadyra school in k satpayev village, who has been traveling to the holy places as a member of the equestrian expedition for two years in a row on the first day of the twoday equestrian trip, horsemen from kanysh satpayev village traveled km to semizbugy, bukhara region zhyrau visited the mausoleum of kalkamanovich "
2,"қазақстанда еңбек қызметін жүзеге асыру үшін жұмыс берушілерге шетелдік жұмыс күшін тартуға рұқсат берілген шекті саны жылға республикадағы жұмыс күшінің санына қатысты бірлікті немесе , ды құрады квота жылы бекітілген санымен бірлік салыстырғанда ға, оның ішінде санат бойынша мамандар ға және санат бойынша білікті жұмысшылар ға қысқартылды ақтөбе, батыс қазақстан, қызылорда және солтүстік қазақстан облыстары санат бойынша шетелдік жұмыскерлерді тартудан толықтай бас тартып, жұмыс берушілердің қажеттілігін жергілікті мамандар есебінен жабуды жоспарлап отыр, делінген хабарламада қр еңбек және халықты әлеуметтік қорғау министрлігінің хабарлауынша, квотаны қабылдау ішкі еңбек нарығын білікті емес шетелдік жұмыс күшінен қорғауға, қазақстандық кадрларды көбірек жұмысқа орналастыруға мүмкіндік береді, сондайақ жұмыс берушілердің білікті шетелдік жұмыс күшіне деген сұранысын қанағаттандырады ",0,"the maximum number of employers allowed to attract foreign labor to work in kazakhstan in amounted to , units or of the total labor force in the country the quota was reduced by compared to the approved number in , units , including categories specialists and categories skilled workers aktobe, west kazakhstan, kyzylorda and north kazakhstan regions completely refuse to attract foreign workers in categories and plan to cover the needs of employers at the expense of local specialists the ministry of labor and the population quota according to the ministry of social protection, protection of foreign labor in the domestic labor market is not qualified to the employment of more staff, kazakhstani, as well as employers of qualified foreign workers thirds satisfy the demand "
3,"қазгидромет рмк синоптиктері еліміздің бірнеше облысында ауа райының қолайсыздығына байланысты дабылды ескерту жарияланды синоптиктердің болжамынша, ақмола облысында қаңтарда таңертең және күндіз кей жерде тұман түсіп, боран болады оңтүстікбатыстан соғатын желдің жылдамдығы секундына метрге жетеді дауылдың ықтималдығы батыс қазақстан облысының кей жерінде бұрқасын болады, батыстан соғатын желдің жылдамдығы метр болады синоптиктер қаңтарда оралда күндіз боран, батыстан жел соғады деп болжап отыр екпіні секундына метрге жетеді қостанай облысында және қостанай қаласында тұман түсіп, күндіз бұрқасын болады қызылорда облысында, түркістан және солтүстік қазақстан облыстарында тұман түсіп, көктайғақ болады, делінген хабарламада ",0,"weather forecasters of rse kazgidromet issued an alarm due to inclement weather in several regions of the country weather forecasters predict fog and blizzard in akmola region on january in the morning and in the afternoon the wind speed from the southwest is meters per second the probability of a hurricane is there will be a blizzard in some parts of the west kazakhstan region, the wind speed from the west will be meters weather forecasters predict a storm in uralsk on january and a westerly wind in the afternoon the impact reaches meters per second it will be foggy and blizzard in kostanay region and kostanay city in the afternoon it will be foggy and icy in kyzylorda, turkestan and north kazakhstan oblasts , the statement reads "
4,"мемлекет басшысы бейбіт азаматтарды да құрбан қылатын шиеленісті басу үшін, барлық тараптар ұстамдылық танытуы керегін айтты иран билігінің бірқатар мемлекет азаматтарының өмірін қиған әуе апаты үшін өз кінәсін мойындауы маңызды шешім болды бейбіт азаматтарды да құрбан қылатын шиеленісті бәсеңдету үшін, қалыптасып отырған жағдайда барлық тараптар ұстамдылық танытуы керек, деп жазды қасымжомарт тоқаев өзінің twitterдегі парақшасында айта кетейік, қаңтар күні тегераннан киевке бет алған украина халықаралық авиациясына тиесілі ps рейсі көкке көтерілісімен екі минут өткенде апатқа ұшыраған болатын өкінішке қарай, апат салдарынан бортта болған адамның ешқайсысы тірі қалмады бұған дейін, иран әуежайы тегеран маңындағы украиналық ұшақ апатының себебін түсіндірді олар тегерандағы жолаушылар ұшағының құлауына қозғалтқыштан шыққан өрт себеп болғанын мәлімдеді алайда, қаңтар күні иран украина ұшағын байқаусызда атып құлатқанын мойындады ",0,"the head of state stressed the need for restraint on all sides in order to reduce tensions, which also sacrifice civilians the iranian government s recognition of its guilt in the plane crash that killed a number of civilians was an important decision in order to reduce the tension, which also kills civilians, all parties must exercise restraint in the current situation, wrote kassymzhomart tokayev on his twitter page minutes later unfortunately, none of the people on board survived the crash earlier, iran s airport explained the cause of the crash of a ukrainian plane near tehran they say the crash of the passenger plane in tehran was caused by an engine fire however, on january , iran admitted that it accidentally shot down a ukrainian plane "
5,"қазгидромет рмк синоптиктері қаңтарда болатын ерекше метеорологиялық құбылыстарға болжамын ұсынды республиканың басым бөлігінде фронтальді бөліктер әлі де өз ықпалын сақтайды соған байланысты кей жерде қар жауады, оңтүстікте жауыншашын көбінесе қар жауады кей жерде тұман күтіледі, жел күшейеді, оңтүстікте және оңтүстікбатыста көктайғақ байқалады, атырау және шығыс қазақстан облыстарында кей жерде жаяу бұрқасын күтіледі, делінген хабарламада атырау, жамбыл облыстарының кей жерінде тұман, көктайғақ күтіледі, атырау облысының күндіз кей жерінде бұрқасын болады, жел м с күшейеді шығыс қазақстан облысының кей жерінде тұман, бұрқасын, желдің күші м с дейін күтіледі түркістан, маңғыстау облыстарының кей жерлерінде тұман, көктайғақ күтіледі, жел м с күшейеді алматы облысының жаланашкол ауданында жел м с күшейеді, түнде кей жерінде тұман күтіледі қызылорда облысының кей жерінде тұман, түнде көктайғақ күтіледі ақмола, батыс қазақстан, қостанай, солтүстік қазақстан, қарағанды облыстарының кей жерінде тұман күтіледі ",0,"weather forecasters of kazhydromet rc provided a forecast of special meteorological phenomena that will occur on january in most parts of the country, the frontal parts still retain their influence due to this, it will snow in some places, and in the south it will rain mostly snow sometimes, and is expected to saddle the fog, strong wind, the south and southwest of ice observed in atyrau, east kazakhstan region, some on foot blizzard is expected, it is xabarlamada at raw zhambyl expected in some areas of fog, ice, it call area in the daytime there will be a blizzard, the wind will increase to m s in some parts of the east kazakhstan region, fog, blizzards and winds of m s are expected in some parts of turkestan and mangistau oblasts, fog and ice are expected, with winds increasing to m s in zhalanashkol district of almaty region, the wind will increase to m s, fog is expected in some places at night fog is expected in some parts of kyzylorda oblast, ice at night fog is expected in akmola, west kazakhstan, kostanay, north kazakhstan and karaganda regions "
6,"қазақстандық боксшы геннадий головкин , ко , ibf және ibo нұсқалары бойынша орта салмақтағы қазіргі әлем чемпионы, өзінің келесі кездесуін поляк камил шереметамен , ко наурыз күні өткізеді, деп хабарлайды boxingscene порталы дереккөздің ақпараты бойынша, жастағы головкин мен шеремета арасындағы жекпежек чикагода иллинойс штаты, ақш өтеді жекпежек наурызға жоспарланған тағы өзге де мәліметтер бойынша, ggg рингке сәуір немесе мамыр айында оралады айта кетейік, головкин бүгінде келесі жекпежегіне қызу дайындықты бастап кетті ",0,"kazakhstani boxer gennady golovkin , kos , the current world middleweight champion in ibf and ibo, will hold his next fight with kamil sheremeta of poland , kos on march , bo xingscene reports according to the source, the fight between yearold golovkin and sheremetyev will take place in chicago illinois, usa the fight is scheduled for march according to other sources, ggg will return to the ring in april or may it should be noted that golovkin has already started preparations for the next fight "
7,"өзін мемлекет деп жариялап алған абхазияда жұрт бүгін жаппай наразылыққа шығып, жаңа сайлау өткізуді талап етті жүздеген адам сухум қаласында абхазия президенті рауль хаджимба әкімшілігінің ғимаратына басып кіріп, хаджимба, оставкаға кет деп ұрандаған абхазияның ішкі істер министрінің бірінші орынбасары беслан багателия тасс агенттігіне полицейлердің наразыларды президент әкімшілігі ғимаратынан ары ығыстырғанын, ішке кіргендер шығарылғанын айтқан абхазия президентінің әкімшілігі бұл наразылықты билікке қарсы төңкеріс жасауға талпыныс деп атады оқиғаны мемлекеттік төңкеріске талпыныс деп бағалаймыз билік республикадағы жағдайды конституциялық тәртіпке сай қалпына келтіру үшін қолдан келгенін бәрін жасайды, деп мәлімдеген президент әкімшілігі абхазиядағы айтаира қайта жаңғыру оппозициялық партиясы елдегі жағдайды ушықтырмас үшін хаджимбаның оставкаға кетуін талап еткен ал абхазияның қорғаныс министрі мираб кимшария абхазия әскері ешқашан өз халқына қарсы шықпайды, саяси істерге араласпайды деген ",0,"in the self proclaimed state of abkhazia, people today protested and demanded new elections hundreds of people stormed the administration building of abkhaz president raul hajimba in sukhumi, shouting hajimba, resign abkhazia s first deputy interior minister, beslan bagatelia, told tass that police pushed the protesters out of the presidential administration building and expelled them when they entered authorities are doing everything they can to restore order in the country, according to the presidential administration abkhazia s opposition party aitaira reconstruction has demanded that hajimba resign in order not to aggravate the situation in the country abkhaz defense minister mirab kimshariya said the abkhaz army would never oppose its people or interfere in political affairs "
8,"украина президенті владимир зеленский иран президенті хасан роуханимен телефон арқылы сөйлесті, деп хабарлайды украина президентінің аппараты әңгімелесу барысында украина президенті тегеранда ұшақ апатынан иран азаматтарының қайтыс болуына байланысты көңіл айтты зеленский украин тарапы апаттың себептерін тергеуге кірісіп, жұмыс бастағанын атап өтті мен осы қайғылы оқиғаның мәнжайын тезірек анықтау үшін ашық, жанжақты тергеу жүргізуге сіздің тараптан көмек болады деп үміттенемін, деді ол ирандық тарап жанжақты тергеу жүргізуге және қайғылы жағдайдың себептерін анықтау үшін толық ынтымақтастықта жұмыс жасайтынын жеткізді роухани иран бір топ украин сарапшыларына барлық қажетті деректерге жедел қол жеткізуді қамтамасыз ететінін атап өтті сонымен қатар, зеленский швеция, ауғанстан және ұлыбритания басшыларымен телефон арқылы сөйлескен ",0,"ukrainian president vladimir zelensky had a telephone conversation with iranian president hassan rouhani, the presidential press service reports during the conversation, the president of ukraine expressed his condolences over the death of iranian citizens in the plane crash in tehran zelensky noted that the ukrainian side has begun to investigate the cause of the accident i will help you to conduct an open, comprehensive investigation to determine the circumstances of the tragedy i hope that will happen, he said the iranian side will work in full cooperation to conduct a comprehensive investigation and determine the causes of the tragedy rouhani said iran would provide a group of ukrainian experts with prompt access to all available data zelensky also spoke by telephone with the leaders of sweden, afghanistan and the united kingdom "
9,"канаданың премьерминистрі джастин трюдо украина президенті владимир зеленскиймен телефон арқылы сөйлескен кезде ирактағы ұшақ апатын тергеуге қолдау білдірді бұл туралы украин басшысының баспасөз қызметі хабарлады зеленский тегерандағы апат салдарынан канада азаматтарының қайтыс болуына байланысты көңіл айтты бұл өте ауыр қайғы және біздің ортақ қасіретіміз украина қайғылы оқиғаны ашық тергеуге және шындықты орнатуға мүдделі, деді владимир зеленский канада үкіметінің басшысы өз кезегінде зеленскийге ұшақ апатында украиндықтардың қайтыс болуына байланысты көңіл айтты және киев тергеу амалдарын жүргізуде канаданың кезкелген көмегіне сүйене алатындығын айтты еске салайық, қаңтарда украина ұшағы тегераннан ұшып шыққаннан кейін үш минут өткенде құлады бортта жолаушы мен экипаждың тоғыз мүшесі болған, олардың барлығы қайтыс болды ұшақ құрбандарының ішінде канада азаматы болды ",0,"canadian prime minister justin trudeau has backed an investigation into a plane crash in iraq during a telephone conversation with ukrainian president vladimir zelensky this was reported by the press service of the president of ukraine zelensky expressed condolences over the death of canadians in the accident in tehran this is a great tragedy and our tragedy ukraine is interested in an open investigation into the tragedy and establishing the truth, said vladimir zelensky the canadian prime minister expressed his condolences to zelensky in connection with the deaths of ukrainians in the plane crash and said that kiev could count on any canadian assistance in the investigation the plane crashed three minutes after taking off from tehran there were passengers and nine crew members on board, all of whom died short of the plane during the bandar n was a canadian citizen "
